i_episode: 0,	 reward_accu: 0, 	 action_length: 8,	 running times: 8
i_episode: 1,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 2,	 reward_accu: -1, 	 action_length: 17,	 running times: 17
i_episode: 3,	 reward_accu: 0, 	 action_length: 8,	 running times: 8
i_episode: 4,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 5,	 reward_accu: 0, 	 action_length: 4,	 running times: 4
i_episode: 6,	 reward_accu: 0, 	 action_length: 8,	 running times: 8
i_episode: 7,	 reward_accu: -1, 	 action_length: 17,	 running times: 17
i_episode: 8,	 reward_accu: -1, 	 action_length: 32,	 running times: 32
i_episode: 9,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 10,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 11,	 reward_accu: -1, 	 action_length: 9,	 running times: 9
i_episode: 12,	 reward_accu: 0, 	 action_length: 100,	 running times: 100
i_episode: 13,	 reward_accu: 0, 	 action_length: 8,	 running times: 8
i_episode: 14,	 reward_accu: 0, 	 action_length: 11,	 running times: 11
i_episode: 15,	 reward_accu: 0, 	 action_length: 5,	 running times: 5
i_episode: 16,	 reward_accu: 3, 	 action_length: 1048,	 running times: 1048
i_episode: 17,	 reward_accu: 0, 	 action_length: 115,	 running times: 115
i_episode: 18,	 reward_accu: 1, 	 action_length: 1447,	 running times: 1447
i_episode: 19,	 reward_accu: 8, 	 action_length: 2121,	 running times: 2121
i_episode: 20,	 reward_accu: 7, 	 action_length: 640,	 running times: 640
i_episode: 21,	 reward_accu: 0, 	 action_length: 29,	 running times: 29
i_episode: 22,	 reward_accu: 0, 	 action_length: 12,	 running times: 12
i_episode: 23,	 reward_accu: 4, 	 action_length: 716,	 running times: 716
i_episode: 24,	 reward_accu: 1, 	 action_length: 546,	 running times: 546
i_episode: 25,	 reward_accu: 10, 	 action_length: 240,	 running times: 240
i_episode: 26,	 reward_accu: 0, 	 action_length: 12,	 running times: 12
i_episode: 27,	 reward_accu: 3, 	 action_length: 433,	 running times: 433
i_episode: 28,	 reward_accu: 3, 	 action_length: 53,	 running times: 53
i_episode: 29,	 reward_accu: 11, 	 action_length: 2121,	 running times: 2121
i_episode: 30,	 reward_accu: 3, 	 action_length: 104,	 running times: 104
i_episode: 31,	 reward_accu: 1, 	 action_length: 31,	 running times: 31
i_episode: 32,	 reward_accu: 6, 	 action_length: 71,	 running times: 71
i_episode: 33,	 reward_accu: 6, 	 action_length: 179,	 running times: 179
i_episode: 34,	 reward_accu: 0, 	 action_length: 145,	 running times: 145
i_episode: 35,	 reward_accu: 4, 	 action_length: 107,	 running times: 107
i_episode: 36,	 reward_accu: 11, 	 action_length: 2121,	 running times: 2121
i_episode: 37,	 reward_accu: 0, 	 action_length: 23,	 running times: 23
i_episode: 38,	 reward_accu: 22, 	 action_length: 748,	 running times: 748
i_episode: 39,	 reward_accu: 6, 	 action_length: 1006,	 running times: 1006
i_episode: 40,	 reward_accu: 1, 	 action_length: 27,	 running times: 27
i_episode: 41,	 reward_accu: 1, 	 action_length: 54,	 running times: 54
i_episode: 42,	 reward_accu: 4, 	 action_length: 67,	 running times: 67
i_episode: 43,	 reward_accu: 1, 	 action_length: 149,	 running times: 149
i_episode: 44,	 reward_accu: 1, 	 action_length: 26,	 running times: 26
i_episode: 45,	 reward_accu: 3, 	 action_length: 198,	 running times: 198
i_episode: 46,	 reward_accu: 4, 	 action_length: 103,	 running times: 103
i_episode: 47,	 reward_accu: 52, 	 action_length: 760,	 running times: 760
i_episode: 48,	 reward_accu: 31, 	 action_length: 582,	 running times: 582
i_episode: 49,	 reward_accu: 72, 	 action_length: 1179,	 running times: 1179
i_episode: 50,	 reward_accu: 72, 	 action_length: 851,	 running times: 851
i_episode: 51,	 reward_accu: 64, 	 action_length: 674,	 running times: 674
i_episode: 52,	 reward_accu: 72, 	 action_length: 742,	 running times: 742
i_episode: 53,	 reward_accu: 72, 	 action_length: 822,	 running times: 822
i_episode: 54,	 reward_accu: 72, 	 action_length: 807,	 running times: 807
i_episode: 55,	 reward_accu: 72, 	 action_length: 698,	 running times: 698
i_episode: 56,	 reward_accu: 72, 	 action_length: 739,	 running times: 739
i_episode: 57,	 reward_accu: 72, 	 action_length: 671,	 running times: 671
i_episode: 58,	 reward_accu: 3, 	 action_length: 48,	 running times: 48
i_episode: 59,	 reward_accu: 3, 	 action_length: 30,	 running times: 30
i_episode: 60,	 reward_accu: 72, 	 action_length: 698,	 running times: 698
i_episode: 61,	 reward_accu: 72, 	 action_length: 677,	 running times: 677
i_episode: 62,	 reward_accu: 72, 	 action_length: 660,	 running times: 660
i_episode: 63,	 reward_accu: 72, 	 action_length: 689,	 running times: 689
i_episode: 64,	 reward_accu: 72, 	 action_length: 713,	 running times: 713
i_episode: 65,	 reward_accu: 72, 	 action_length: 712,	 running times: 712
i_episode: 66,	 reward_accu: 72, 	 action_length: 694,	 running times: 694
i_episode: 67,	 reward_accu: 72, 	 action_length: 690,	 running times: 690
i_episode: 68,	 reward_accu: 40, 	 action_length: 427,	 running times: 427
i_episode: 69,	 reward_accu: 72, 	 action_length: 701,	 running times: 701
i_episode: 70,	 reward_accu: 72, 	 action_length: 663,	 running times: 663
i_episode: 71,	 reward_accu: 72, 	 action_length: 775,	 running times: 775
i_episode: 72,	 reward_accu: 7, 	 action_length: 88,	 running times: 88
i_episode: 73,	 reward_accu: 72, 	 action_length: 670,	 running times: 670
i_episode: 74,	 reward_accu: 72, 	 action_length: 724,	 running times: 724
i_episode: 75,	 reward_accu: 72, 	 action_length: 676,	 running times: 676
i_episode: 76,	 reward_accu: 72, 	 action_length: 679,	 running times: 679
i_episode: 77,	 reward_accu: 72, 	 action_length: 666,	 running times: 666
i_episode: 78,	 reward_accu: 72, 	 action_length: 672,	 running times: 672
i_episode: 79,	 reward_accu: 72, 	 action_length: 678,	 running times: 678
i_episode: 80,	 reward_accu: 72, 	 action_length: 685,	 running times: 685
i_episode: 81,	 reward_accu: 72, 	 action_length: 661,	 running times: 661
i_episode: 82,	 reward_accu: 72, 	 action_length: 692,	 running times: 692
i_episode: 83,	 reward_accu: 72, 	 action_length: 681,	 running times: 681
i_episode: 84,	 reward_accu: 72, 	 action_length: 686,	 running times: 686
i_episode: 85,	 reward_accu: 72, 	 action_length: 706,	 running times: 706
i_episode: 86,	 reward_accu: 72, 	 action_length: 648,	 running times: 648
i_episode: 87,	 reward_accu: 72, 	 action_length: 664,	 running times: 664
i_episode: 88,	 reward_accu: 72, 	 action_length: 657,	 running times: 657
i_episode: 89,	 reward_accu: 72, 	 action_length: 643,	 running times: 643
i_episode: 90,	 reward_accu: 72, 	 action_length: 684,	 running times: 684
i_episode: 91,	 reward_accu: 72, 	 action_length: 681,	 running times: 681
i_episode: 92,	 reward_accu: 72, 	 action_length: 688,	 running times: 688
i_episode: 93,	 reward_accu: 72, 	 action_length: 685,	 running times: 685
i_episode: 94,	 reward_accu: 72, 	 action_length: 705,	 running times: 705
i_episode: 95,	 reward_accu: 72, 	 action_length: 651,	 running times: 651
i_episode: 96,	 reward_accu: 72, 	 action_length: 659,	 running times: 659
i_episode: 97,	 reward_accu: 72, 	 action_length: 688,	 running times: 688
i_episode: 98,	 reward_accu: 72, 	 action_length: 682,	 running times: 682
