i_episode: 0,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
[-1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 4, 35, 7, 1, 9, 16, 7, 25, 18, 45, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 48, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 42, 144, 78, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 66, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 120, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144, 144]
i_episode: 1,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 2,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 3,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 4,	 reward_accu: -1, 	 action_length: 14,	 running times: 14
i_episode: 5,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 6,	 reward_accu: -1, 	 action_length: 13,	 running times: 13
i_episode: 7,	 reward_accu: 1, 	 action_length: 35,	 running times: 35
i_episode: 8,	 reward_accu: -1, 	 action_length: 15,	 running times: 15
i_episode: 9,	 reward_accu: -1, 	 action_length: 9,	 running times: 9
i_episode: 10,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 11,	 reward_accu: -1, 	 action_length: 12,	 running times: 12
i_episode: 12,	 reward_accu: -1, 	 action_length: 23,	 running times: 23
i_episode: 13,	 reward_accu: -1, 	 action_length: 28,	 running times: 28
i_episode: 14,	 reward_accu: 0, 	 action_length: 5,	 running times: 5
i_episode: 15,	 reward_accu: 0, 	 action_length: 248,	 running times: 248
i_episode: 16,	 reward_accu: 0, 	 action_length: 49,	 running times: 49
i_episode: 17,	 reward_accu: 0, 	 action_length: 24,	 running times: 24
i_episode: 18,	 reward_accu: 0, 	 action_length: 14,	 running times: 14
i_episode: 19,	 reward_accu: 0, 	 action_length: 4,	 running times: 4
i_episode: 20,	 reward_accu: 0, 	 action_length: 19,	 running times: 19
i_episode: 21,	 reward_accu: 0, 	 action_length: 23,	 running times: 23
i_episode: 22,	 reward_accu: 1, 	 action_length: 250,	 running times: 250
i_episode: 23,	 reward_accu: 1, 	 action_length: 29,	 running times: 29
i_episode: 24,	 reward_accu: 0, 	 action_length: 17,	 running times: 17
i_episode: 25,	 reward_accu: 3, 	 action_length: 154,	 running times: 154
i_episode: 26,	 reward_accu: 1, 	 action_length: 21,	 running times: 21
i_episode: 27,	 reward_accu: 1, 	 action_length: 60,	 running times: 60
i_episode: 28,	 reward_accu: 1, 	 action_length: 84,	 running times: 84
i_episode: 29,	 reward_accu: 1, 	 action_length: 224,	 running times: 224
i_episode: 30,	 reward_accu: 1, 	 action_length: 56,	 running times: 56
i_episode: 31,	 reward_accu: 1, 	 action_length: 178,	 running times: 178
i_episode: 32,	 reward_accu: 1, 	 action_length: 53,	 running times: 53
i_episode: 33,	 reward_accu: 1, 	 action_length: 156,	 running times: 156
i_episode: 34,	 reward_accu: 13, 	 action_length: 1174,	 running times: 1174
i_episode: 35,	 reward_accu: 1, 	 action_length: 1572,	 running times: 1572
i_episode: 36,	 reward_accu: 4, 	 action_length: 1657,	 running times: 1657
i_episode: 37,	 reward_accu: 35, 	 action_length: 3463,	 running times: 3463
i_episode: 38,	 reward_accu: 7, 	 action_length: 161,	 running times: 161
i_episode: 39,	 reward_accu: 1, 	 action_length: 333,	 running times: 333
i_episode: 40,	 reward_accu: 9, 	 action_length: 215,	 running times: 215
i_episode: 41,	 reward_accu: 16, 	 action_length: 283,	 running times: 283
i_episode: 42,	 reward_accu: 7, 	 action_length: 121,	 running times: 121
i_episode: 43,	 reward_accu: 25, 	 action_length: 368,	 running times: 368
i_episode: 44,	 reward_accu: 18, 	 action_length: 211,	 running times: 211
i_episode: 45,	 reward_accu: 45, 	 action_length: 605,	 running times: 605
