i_episode: 0,	 reward_accu: -1, 	 action_length: 16,	 running times: 16
i_episode: 1,	 reward_accu: 0, 	 action_length: 18,	 running times: 18
i_episode: 2,	 reward_accu: -1, 	 action_length: 16,	 running times: 16
i_episode: 3,	 reward_accu: -1, 	 action_length: 18,	 running times: 18
i_episode: 4,	 reward_accu: -1, 	 action_length: 16,	 running times: 16
i_episode: 5,	 reward_accu: 0, 	 action_length: 38,	 running times: 38
i_episode: 6,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 7,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 8,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 9,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 10,	 reward_accu: -1, 	 action_length: 1,	 running times: 1
i_episode: 11,	 reward_accu: -1, 	 action_length: 3,	 running times: 3
i_episode: 12,	 reward_accu: -1, 	 action_length: 11,	 running times: 11
i_episode: 13,	 reward_accu: 0, 	 action_length: 162,	 running times: 162
i_episode: 14,	 reward_accu: 0, 	 action_length: 222,	 running times: 222
i_episode: 15,	 reward_accu: 0, 	 action_length: 178,	 running times: 178
i_episode: 16,	 reward_accu: 0, 	 action_length: 6,	 running times: 6
i_episode: 17,	 reward_accu: 1, 	 action_length: 3726,	 running times: 3726
i_episode: 18,	 reward_accu: 0, 	 action_length: 70,	 running times: 70
i_episode: 19,	 reward_accu: 4, 	 action_length: 266,	 running times: 266
i_episode: 20,	 reward_accu: 1, 	 action_length: 52,	 running times: 52
i_episode: 21,	 reward_accu: 18, 	 action_length: 1196,	 running times: 1196
i_episode: 22,	 reward_accu: 9, 	 action_length: 268,	 running times: 268
i_episode: 23,	 reward_accu: 25, 	 action_length: 682,	 running times: 682
i_episode: 24,	 reward_accu: 75, 	 action_length: 1020,	 running times: 1020
i_episode: 25,	 reward_accu: 75, 	 action_length: 1114,	 running times: 1114
i_episode: 26,	 reward_accu: 75, 	 action_length: 934,	 running times: 934
